NombrePais,Total_Pais_Mes,Categoria,Total_Categoria_Mes,Clase,Litros 40 % Alc. Vol,AñoArchivo,Mes
BANGLADESH,10779.75,TEQUILA 100% DE AGAVE,1157.25,EXTRA AÑEJO,1.88,2016,1
VENEZUELA,35316.0,TEQUILA,35316.0,JOVEN,16416.0,2008,2
CHINA,210720.0,TEQUILA 100% DE AGAVE,12289.5,BLANCO,4081.5,2024,4
SUECIA,3791.94,TEQUILA 100% DE AGAVE,3783.54,JOVEN,9.0,2010,12
AUSTRALIA,72541.5,TEQUILA,22623.3,BLANCO,957.6,2015,7
ITALIA,162485.79,TEQUILA,160715.5,JOVEN,23255.98,2005,6
PARAGUAY,35054.99,TEQUILA,35054.99,BLANCO,26505.0,2002,5
SUDAFRICA,138971.85,TEQUILA,132794.1,BLANCO,39667.5,2014,12
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,45503.34,TEQUILA 100% DE AGAVE,3727.79,BLANCO,598.5,2004,8
NUEVA ZELANDIA,914.76,TEQUILA 100% DE AGAVE,914.76,REPOSADO,542.64,2011,10
ESPAÑA,259557.03,TEQUILA 100% DE AGAVE,101770.04,JOVEN,1293.6,2022,6
COSTA RICA,9264.01,TEQUILA 100% DE AGAVE,304.73,AÑEJO,173.1,2025,2
LETONIA,11029.49,TEQUILA 100% DE AGAVE,5970.74,AÑEJO,1875.0,2005,5
REPUBLICA CHECA,7134.6,TEQUILA 100% DE AGAVE,7134.6,AÑEJO,21.0,2021,8
URUGUAY,5433.75,TEQUILA,5433.75,JOVEN,2106.56,2016,2
ESLOVENIA,8618.4,TEQUILA,8618.4,BLANCO,7660.8,2012,3
MEXICO,33249.54,TEQUILA,11205.19,JOVEN,1062.53,1999,7
HONDURAS,22693.65,TEQUILA,16374.53,BLANCO,410.4,2019,8
COSTA RICA,3253.48,TEQUILA,2993.1,JOVEN,683.99,1997,5
MEXICO,73093.7,TEQUILA 100% DE AGAVE,70225.39,AÑEJO,18259.88,2012,2
RUSIA,39231.48,TEQUILA 100% DE AGAVE,19051.2,REPOSADO,1494.0,2016,5
GUATEMALA,66860.75,TEQUILA,29918.55,REPOSADO,11077.2,2022,9
AUSTRALIA,228407.27,TEQUILA 100% DE AGAVE,154201.25,BLANCO,74373.6,2021,1
COSTA RICA,30584.78,TEQUILA,20450.4,BLANCO,4072.8,2013,11
FILIPINAS,7560.0,TEQUILA 100% DE AGAVE,7560.0,AÑEJO,1890.0,2024,4
SERBIA,21290.64,TEQUILA 100% DE AGAVE,223.44,BLANCO,111.72,2022,3
EMIRATOS ARABES UNIDOS,19319.98,TEQUILA,19319.98,REPOSADO,7679.99,2005,2
BELGICA,15885.54,TEQUILA 100% DE AGAVE,5333.04,BLANCO,335.16,2024,7
ESTADOS UNIDOS DE AMERICA,2979555.14,TEQUILA 100% DE AGAVE,1308310.88,REPOSADO,626021.56,2025,3
FRANCIA,467918.42,TEQUILA 100% DE AGAVE,14743.7,JOVEN,4508.7,2011,8
HONG KONG,15429.36,TEQUILA 100% DE AGAVE,6752.16,AÑEJO,378.0,2014,2
PERU,378.0,TEQUILA,378.0,REPOSADO,189.0,2016,2
GUATEMALA,52989.07,TEQUILA,33148.35,REPOSADO,25538.85,2023,6
SERBIA,10725.12,TEQUILA,10725.12,BLANCO,1915.2,2020,11
REPUBLICA DOMINICANA,5961.0,TEQUILA 100% DE AGAVE,2370.0,JOVEN,570.0,2010,4
